5Bk1/pp4pp/2bnp3/q7/2PP3P/P2Q4/4N1r1/R4K1R b - - 1 23,0.0
5Bk1/pp4pp/3np3/q7/2PPb2P/P6Q/4N1r1/R4K1R b - - 3 24,0.0
5rk1/pp1b2pp/3np3/q5B1/2PP3P/P2Q4/4NrP1/R5KR w - - 0 21,0.63
5Bk1/pp4pp/3np3/8/2PPb2P/P6Q/3qN1r1/R4K1R w - - 4 25,0.0
5B1k/pp4pp/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R w - - 1 26,0.0
7k/pp4Bp/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R b - - 0 26,0.0
8/pp4kp/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R w - - 0 27,0.0
8/pp2Q1kp/3n4/8/2PPb2P/P7/3qN1r1/R4K1R b - - 1 27,0.0
6k1/pp2Q2p/3n4/8/2PPb2P/P7/3qN1r1/R4K1R w - - 2 28,0.0
6k1/pp5p/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R b - - 3 28,0.0
7k/pp5p/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R w - - 4 29,0.0
7k/pp5p/3n1Q2/8/2PPb2P/P7/3qN1r1/R4K1R b - - 5 29,0.0
6k1/pp5p/3n1Q2/8/2PPb2P/P7/3qN1r1/R4K1R w - - 6 30,0.0
5Bk1/pp4pp/3nQ3/8/2PPb2P/P7/3qN1r1/R4K1R b - - 0 25,0.0
5rk1/pp1bB1pp/3np3/q7/2PP3P/P2Q4/4NrP1/R5KR b - - 1 21,0.49
5rk1/pp2B1pp/2bnp3/q7/2PP3P/P2Q4/4NrP1/R5KR w - - 2 22,0.47
5Bk1/pp4pp/3np3/q7/2PPb2P/P2Q4/4N1r1/R4K1R w - - 2 24,-0.01
5Bk1/pp4pp/2bnp3/q7/2PP3P/P2Q4/4N1r1/R5KR w - - 0 23,-0.02
5rk1/pp2B1pp/2bnp3/5Q2/2PP3P/P7/4NrPR/R5K1 b - - 0 23,0.42
5rk1/pp2B1pp/2bnp3/q7/2PP3P/P2Q4/4NrPR/R5K1 b - - 3 22,0.53
6k1/pp2B1pp/2bnp3/5r2/2PP3P/P7/4NrPR/R5K1 w - - 0 24,0.45
r1b3k1/pp4pp/2n1pr2/q7/2PPQ3/P7/4NPPP/R1B2K1R b - - 0 15,-0.08
4n1k1/pp2B1pp/2P1p3/5r2/2P4P/P7/4r1PR/R5K1 w - - 1 26,6.98
5rk1/pp2B1pp/2bnp3/5q2/2PP3P/P2Q4/4NrPR/R5K1 w - - 4 23,0.38
6k1/pp2B1pp/2bnp3/3P1r2/2P4P/P7/4NrPR/R5K1 b - - 0 24,0.4
5rk1/pp1b2pp/3npr2/q5B1/2PP3P/P2Q4/4NPP1/R5KR b - - 4 20,0.04
4n1k1/pP2B1pp/4p3/5r2/2P4P/P7/4r1PR/R5K1 b - - 0 26,6.95
6k1/pp2B1pp/2bn4/3p1r2/2P4P/P5N1/5rPR/R5K1 b - - 1 25,0.41
6k1/pp2B1pp/2bnp3/3P1r2/2P4P/P7/4r1PR/R5K1 w - - 0 25,3.69
6k1/pp2B1pp/2Pnp3/5r2/2P4P/P7/4r1PR/R5K1 b - - 0 25,3.85
6k1/pp2B1pp/2bn4/3p1r2/2P4P/P7/4NrPR/R5K1 w - - 0 25,0.36
4n1k1/pP2B1pp/4p3/5r2/2P4P/P7/1r4PR/R5K1 w - - 1 27,7.67
4n1k1/pP4pp/4p3/5r2/1BP4P/P7/1r4PR/R5K1 b - - 2 27,7.88
6k1/pp2B1pp/2b5/3p1r2/2n4P/P5N1/5rPR/R5K1 w - - 0 26,0.49
6k1/pp2B1pp/2b5/3p1N2/2n4P/P7/5rPR/R5K1 b - - 0 26,0.23
6k1/Bp4pp/2b5/3p1r2/2n4P/P7/6PR/R5K1 b - - 0 28,0.35
6k1/pp4pp/2b5/2Bp1r2/2n2r1P/P5N1/6PR/R5K1 w - - 2 27,0.35
6k1/pp4pp/2b5/2Bp1N2/2n2r1P/P7/6PR/R5K1 b - - 0 27,0.3
6k1/pp4pp/2b5/2Bp1r2/2n4P/P5N1/5rPR/R5K1 b - - 1 26,0.34
6k1/B5pp/1pb5/3p1r2/2n4P/P7/6PR/R5K1 w - - 0 29,1.13
6k1/B5pp/1pb5/3p1r2/2n4P/P6R/6P1/R5K1 b - - 1 29,0.47
6k1/pp2B1pp/2b5/3p1r2/2n4P/P7/6PR/R5K1 w - - 0 27,0.21
6k1/B4rpp/1pb5/3p4/2n4P/P6R/6P1/R5K1 w - - 2 30,0.72
6k1/pp4pp/2b5/2Bp1r2/2n4P/P7/6PR/R5K1 w - - 0 28,0.32
1B4k1/5rpp/2b5/1p6/P1np3P/7R/6P1/2R3K1 b - - 0 32,1.33
1B4k1/5rpp/1pb5/8/2np3P/P6R/6P1/2R3K1 b - - 1 31,1.13
1B4k1/5rpp/1pb5/8/2np3P/P6R/6P1/R5K1 w - - 0 31,1.05
1B4k1/5rpp/1pb5/3p4/2n4P/P6R/6P1/R5K1 b - - 3 30,0.55
1B4k1/5rpp/2b5/1p6/2np3P/P6R/6P1/2R3K1 w - - 0 32,1.27
1B4k1/3r2pp/2b5/1p6/P1np3P/7R/6P1/2R3K1 w - - 1 33,1.14
1B4k1/6pp/8/1b1r4/2np3P/1R6/6P1/2R3K1 w - - 2 35,1.05
1B4k1/3r2pp/2b5/1P6/2np3P/7R/6P1/2R3K1 b - - 0 33,1.2
6k1/6pp/8/1b1r4/2np1B1P/1R6/6P1/2R3K1 b - - 3 35,1.09
1B4k1/3r2pp/8/1b6/2np3P/1R6/6P1/2R3K1 b - - 1 34,1.12
1B4k1/3r2pp/8/1b6/2np3P/7R/6P1/2R3K1 w - - 0 34,1.12
2R3k1/6pp/8/1b1rn3/3p1B1P/1R6/6P1/6K1 b - - 5 36,0.92
8/2R3pp/5k2/1b1rn3/3p1B1P/1R6/6P1/6K1 w - - 8 38,0.79
2R5/5kpp/8/1b1rn3/3p1B1P/1R6/6P1/6K1 w - - 6 37,0.82
8/1R4pp/5k2/1b1rn3/3p1B1P/1R6/6P1/6K1 b - - 9 38,0.73
8/1R1b2pp/5k2/3rn3/3p1B1P/6R1/6P1/6K1 b - - 11 39,0.25
6k1/6pp/8/1b1rn3/3p1B1P/1R6/6P1/2R3K1 w - - 4 36,1.03
8/2R2kpp/8/1b1rn3/3p1B1P/1R6/6P1/6K1 b - - 7 37,0.74
8/1R1b2pp/5k2/3rn3/3p1B1P/1R6/6P1/6K1 w - - 10 39,0.64
8/1R1b2pp/8/3r1kB1/3p2nP/5R2/6P1/6K1 b - - 15 41,0.48
8/1R1b2pp/5k2/3r4/3p1BnP/6R1/6P1/6K1 w - - 12 40,0.76
8/3b1Rpp/1R6/r5Bk/3p2nP/8/6P1/6K1 w - - 20 44,0.27
8/3b2pp/1R4k1/3r2B1/3p2nP/5R2/6P1/6K1 b - - 17 42,0.13
8/5Rpp/8/r4bBk/3R2nP/8/6P1/6K1 b - - 0 45,-99.97
8/5Rpp/8/5bBk/3R2nP/8/6P1/r5K1 w - - 1 46,-99.98
8/5Rpp/8/5b1k/3R2nP/8/6P1/r1B3K1 b - - 2 46,-99.98
8/5Rpp/8/5b1k/3R2nP/8/6P1/2r3K1 w - - 0 47,-99.99
8/5Rpp/8/5b1k/6nP/8/6P1/2rR2K1 b - - 1 47,-99.99
8/5Rpp/8/5b1k/6nP/8/6P1/3r2K1 w - - 0 48,-100.0
8/3b1Rpp/1R6/3r2Bk/3p2nP/8/6P1/6K1 b - - 19 43,0.27
8/3b1Rpp/3R4/r5Bk/3p2nP/8/6P1/6K1 b - - 21 44,0.0
8/1R1b2pp/5k2/3r2B1/3p2nP/6R1/6P1/6K1 b - - 13 40,0.78
